sales_group,our_experiment,our_model,paper_model,paper_target_or_recovery,our_wape_percent,paper_wape_percent,our_minus_paper_wape_pp,relative_wape_change_vs_paper_percent,our_wpe_percent,paper_wpe_percent,our_absolute_bias_percent,paper_absolute_bias_percent,our_minus_paper_absolute_bias_pp
Overall,zero_start,GPU XGBoost — zero start,SSA,Raw Sales,29.9572,31.97,-2.0127999999999986,-6.295902408507972,-6.8175,-10.5,6.8175,10.5,-3.6825
Overall,zero_start,GPU XGBoost — zero start,TFT,Raw Sales,29.9572,31.75,-1.7927999999999997,-5.646614173228346,-6.8175,-7.37,6.8175,7.37,-0.5525000000000002
Overall,zero_start,GPU XGBoost — zero start,DLinear,Raw Sales,29.9572,31.56,-1.6027999999999984,-5.078580481622303,-6.8175,-4.89,6.8175,4.89,1.9275000000000002
Overall,zero_start,GPU XGBoost — zero start,TFT,TimesNet Recovery,29.9572,29.02,0.9372000000000007,3.229496898690561,-6.8175,2.58,6.8175,2.58,4.2375
Low Sale,zero_start,GPU XGBoost — zero start,SSA,Raw Sales,36.0995,38.33,-2.2304999999999993,-5.819201669710408,-1.1541,-8.03,1.1541,8.03,-6.8759
Low Sale,zero_start,GPU XGBoost — zero start,TFT,Raw Sales,36.0995,37.04,-0.9405000000000001,-2.5391468682505405,-1.1541,-1.72,1.1541,1.72,-0.5659000000000001
Low Sale,zero_start,GPU XGBoost — zero start,DLinear,Raw Sales,36.0995,39.78,-3.680500000000002,-9.252136752136757,-1.1541,-1.03,1.1541,1.03,0.12409999999999988
Low Sale,zero_start,GPU XGBoost — zero start,TFT,TimesNet Recovery,36.0995,37.33,-1.2304999999999993,-3.296276453254753,-1.1541,7.78,1.1541,7.78,-6.625900000000001
High Sale,zero_start,GPU XGBoost — zero start,SSA,Raw Sales,25.4965,27.4,-1.9034999999999975,-6.947080291970794,-10.9304,-12.26,10.9304,12.26,-1.3295999999999992
High Sale,zero_start,GPU XGBoost — zero start,TFT,Raw Sales,25.4965,27.95,-2.4534999999999982,-8.778175313059029,-10.9304,-11.46,10.9304,11.46,-0.5296000000000003
High Sale,zero_start,GPU XGBoost — zero start,DLinear,Raw Sales,25.4965,25.68,-0.18349999999999866,-0.7145638629283437,-10.9304,-7.63,10.9304,7.63,3.3004000000000007
High Sale,zero_start,GPU XGBoost — zero start,TFT,TimesNet Recovery,25.4965,23.03,2.4665,10.70994355188884,-10.9304,0.87,10.9304,0.87,10.060400000000001
Overall,mandatory_start,GPU XGBoost — mandatory start,SSA,Raw Sales,33.0306,31.97,1.0606000000000009,3.317485142320929,-5.1328,-10.5,5.1328,10.5,-5.3672
Overall,mandatory_start,GPU XGBoost — mandatory start,TFT,Raw Sales,33.0306,31.75,1.2805999999999997,4.033385826771653,-5.1328,-7.37,5.1328,7.37,-2.2372000000000005
Overall,mandatory_start,GPU XGBoost — mandatory start,DLinear,Raw Sales,33.0306,31.56,1.470600000000001,4.6596958174904985,-5.1328,-4.89,5.1328,4.89,0.2427999999999999
Overall,mandatory_start,GPU XGBoost — mandatory start,TFT,TimesNet Recovery,33.0306,29.02,4.0106,13.82012405237767,-5.1328,2.58,5.1328,2.58,2.5527999999999995
Low Sale,mandatory_start,GPU XGBoost — mandatory start,SSA,Raw Sales,38.9377,38.33,0.6077000000000012,1.5854422123662961,3.1147,-8.03,3.1147,8.03,-4.915299999999999
Low Sale,mandatory_start,GPU XGBoost — mandatory start,TFT,Raw Sales,38.9377,37.04,1.8977000000000004,5.123380129589634,3.1147,-1.72,3.1147,1.72,1.3947
Low Sale,mandatory_start,GPU XGBoost — mandatory start,DLinear,Raw Sales,38.9377,39.78,-0.8423000000000016,-2.1173956762192097,3.1147,-1.03,3.1147,1.03,2.0846999999999998
Low Sale,mandatory_start,GPU XGBoost — mandatory start,TFT,TimesNet Recovery,38.9377,37.33,1.6077000000000012,4.306723814626309,3.1147,7.78,3.1147,7.78,-4.6653
High Sale,mandatory_start,GPU XGBoost — mandatory start,SSA,Raw Sales,28.740700000000004,27.4,1.3407000000000053,4.893065693430676,-11.122300000000001,-12.26,11.122300000000001,12.26,-1.1376999999999988
High Sale,mandatory_start,GPU XGBoost — mandatory start,TFT,Raw Sales,28.740700000000004,27.95,0.7907000000000046,2.8289803220035945,-11.122300000000001,-11.46,11.122300000000001,11.46,-0.3376999999999999
High Sale,mandatory_start,GPU XGBoost — mandatory start,DLinear,Raw Sales,28.740700000000004,25.68,3.060700000000004,11.918613707165125,-11.122300000000001,-7.63,11.122300000000001,7.63,3.492300000000001
High Sale,mandatory_start,GPU XGBoost — mandatory start,TFT,TimesNet Recovery,28.740700000000004,23.03,5.710700000000003,24.796786799826325,-11.122300000000001,0.87,11.122300000000001,0.87,10.252300000000002
